epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1824,1.19395,1.30509,0.50652,0.92311,1.1135,0.9993,1,0.995,0.85584,0.9993,1,0.995,0.99498,0.64708,0.12447,0.0893,0.48034,0.8923,0.000661333,0.000661333,0.000661333
2,84.8741,0.60375,0.21055,0.19545,0.43716,0.87336,0.99977,1,0.995,0.88788,0.99977,1,0.995,0.995,0.58955,0.09923,0.01868,0.45971,0.88624,0.00128418,0.00128418,0.00128418
3,124.623,0.55969,0.16387,0.13745,0.41498,0.86309,0.99995,1,0.995,0.9342,0.99995,1,0.995,0.99499,0.39178,0.08766,0.01249,0.34916,0.81182,0.00186302,0.00186302,0.00186302
4,164.136,0.46508,0.12663,0.11339,0.35906,0.84559,0.99994,1,0.995,0.94317,0.99994,1,0.995,0.995,0.32985,0.06815,0.02481,0.58601,0.79798,0.001802,0.001802,0.001802
5,203.679,0.42262,0.09924,0.09015,0.32973,0.83606,1,1,0.995,0.9816,1,1,0.995,0.99499,0.27301,0.0556,0.01612,0.24968,0.78956,0.001736,0.001736,0.001736
6,243.426,0.43144,0.09004,0.08098,0.31292,0.82978,0.99996,1,0.995,0.9859,0.99996,1,0.995,0.995,0.25483,0.04012,0.01051,0.2322,0.78475,0.00167,0.00167,0.00167
7,280.628,0.37219,0.07123,0.0731,0.28864,0.81673,0.99997,1,0.995,0.93962,0.99997,1,0.995,0.995,0.3272,0.02688,0.00851,0.26322,0.79151,0.001604,0.001604,0.001604
8,317.754,0.37811,0.0616,0.06582,0.2856,0.82338,0.99997,1,0.995,0.98464,0.99997,1,0.995,0.995,0.25762,0.03318,0.0061,0.2255,0.78024,0.001538,0.001538,0.001538
9,353.499,0.35303,0.05785,0.05827,0.27385,0.81533,0.99997,1,0.995,0.97797,0.99997,1,0.995,0.995,0.26448,0.03055,0.00674,0.21607,0.78264,0.001472,0.001472,0.001472
10,390.899,0.33342,0.05595,0.05124,0.25591,0.80803,0.99997,1,0.995,0.98698,0.99997,1,0.995,0.995,0.22106,0.01722,0.00411,0.19577,0.7753,0.001406,0.001406,0.001406
11,428.151,0.34887,0.04809,0.04403,0.2552,0.81123,0.99997,1,0.995,0.97873,0.99997,1,0.995,0.995,0.23887,0.02036,0.00345,0.20182,0.77825,0.00134,0.00134,0.00134
12,466.68,0.32222,0.05234,0.03647,0.24711,0.80581,0.99997,1,0.995,0.99001,0.99997,1,0.995,0.995,0.22644,0.01665,0.00309,0.19262,0.77515,0.001274,0.001274,0.001274
13,504.912,0.31028,0.04184,0.03521,0.24193,0.80685,0.99997,1,0.995,0.9921,0.99997,1,0.995,0.995,0.20224,0.01657,0.01371,0.18127,0.77301,0.001208,0.001208,0.001208
14,541.252,0.29456,0.03874,0.02962,0.23324,0.80382,0.99996,1,0.995,0.99044,0.99996,1,0.995,0.995,0.20882,0.01809,0.00834,0.18248,0.77202,0.001142,0.001142,0.001142
15,578.759,0.2891,0.03704,0.02845,0.22554,0.79951,0.99997,1,0.995,0.99246,0.99997,1,0.995,0.995,0.19968,0.01311,0.01511,0.16307,0.77118,0.001076,0.001076,0.001076
16,617.991,0.28055,0.03578,0.0254,0.22129,0.79922,0.99997,1,0.995,0.99376,0.99997,1,0.995,0.995,0.1875,0.01133,0.00366,0.16484,0.76921,0.00101,0.00101,0.00101
17,654.673,0.27269,0.03195,0.03001,0.21522,0.79958,0.99997,1,0.995,0.99427,0.99997,1,0.995,0.995,0.16858,0.01494,0.00271,0.15275,0.76702,0.000944,0.000944,0.000944
18,692.456,0.26074,0.02907,0.02653,0.20308,0.79357,0.99997,1,0.995,0.99382,0.99997,1,0.995,0.995,0.18322,0.01725,0.00614,0.16079,0.76834,0.000878,0.000878,0.000878
19,730.428,0.25333,0.03094,0.02555,0.20215,0.79118,0.99997,1,0.995,0.9912,0.99997,1,0.995,0.995,0.18176,0.01033,0.00205,0.15148,0.76727,0.000812,0.000812,0.000812
20,766.391,0.25992,0.02513,0.02316,0.2035,0.79582,0.99997,1,0.995,0.99351,0.99997,1,0.995,0.995,0.18344,0.0111,0.00072,0.15206,0.76668,0.000746,0.000746,0.000746
21,818.682,0.23333,0.0233,0.00957,0.18292,0.7856,0.99997,1,0.995,0.99477,0.99997,1,0.995,0.995,0.16816,0.01796,0.00197,0.14267,0.76467,0.00068,0.00068,0.00068
22,856.43,0.21745,0.02241,0.01478,0.17481,0.78042,0.99997,1,0.995,0.99457,0.99997,1,0.995,0.995,0.1838,0.01037,0.00035,0.15757,0.76686,0.000614,0.000614,0.000614
23,894.443,0.20737,0.0177,0.00758,0.17136,0.78256,0.99997,1,0.995,0.99456,0.99997,1,0.995,0.995,0.18283,0.00853,0.00045,0.1487,0.76532,0.000548,0.000548,0.000548
24,931.344,0.19393,0.01431,0.0067,0.16299,0.78191,1,1,0.995,0.99481,1,1,0.995,0.995,0.16964,0.00629,0.00041,0.13973,0.76441,0.000482,0.000482,0.000482
25,968.174,0.18772,0.01102,0.00563,0.1589,0.78021,0.99997,1,0.995,0.99462,0.99997,1,0.995,0.995,0.17403,0.00644,0.00051,0.13907,0.76519,0.000416,0.000416,0.000416
26,1006.16,0.18418,0.01164,0.00604,0.15526,0.78129,1,1,0.995,0.99461,1,1,0.995,0.995,0.16321,0.00634,0.00033,0.13524,0.76405,0.00035,0.00035,0.00035
27,1043.81,0.17152,0.01099,0.00887,0.14674,0.7775,1,1,0.995,0.99496,1,1,0.995,0.995,0.15289,0.00532,0.00018,0.12775,0.76341,0.000284,0.000284,0.000284
28,1080.6,0.16292,0.0088,0.0041,0.13877,0.77881,1,1,0.995,0.99497,1,1,0.995,0.995,0.13902,0.00459,0.00025,0.11783,0.76027,0.000218,0.000218,0.000218
29,1116.91,0.15668,0.00929,0.00484,0.13489,0.77772,1,1,0.995,0.99498,1,1,0.995,0.995,0.13302,0.00465,0.0004,0.11584,0.76032,0.000152,0.000152,0.000152
30,1151.88,0.15064,0.00772,0.00493,0.12856,0.77102,1,1,0.995,0.995,1,1,0.995,0.995,0.13235,0.00504,0.00038,0.11124,0.75984,8.6e-05,8.6e-05,8.6e-05
